iter	Passed	Remaining
0	6	628
1	12	633
2	22	725
3	26	624
4	30	572
5	34	538
6	37	503
7	41	476
8	44	454
9	48	437
10	51	417
11	53	391
12	55	368
13	57	351
14	59	339
15	63	332
16	66	325
17	69	316
18	71	304
19	73	294
20	75	284
21	77	273
22	78	263
23	80	253
24	81	244
25	82	235
26	84	227
27	85	220
28	87	213
29	88	206
30	90	200
31	91	194
32	92	188
33	94	182
34	95	177
35	96	172
36	98	167
37	99	162
38	101	158
39	102	153
40	104	149
41	104	144
42	105	140
43	107	136
44	108	132
45	110	129
46	111	125
47	112	122
48	114	118
49	115	115
50	117	112
51	118	109
52	119	106
53	121	103
54	121	99
55	123	96
56	124	94
57	126	91
58	128	89
59	129	86
60	131	83
61	132	81
62	133	78
63	135	76
64	136	73
65	138	71
66	139	68
67	141	66
68	142	63
69	143	61
70	145	59
71	146	57
72	148	54
73	149	52
74	150	50
75	152	48
76	153	45
77	187	52
78	190	50
79	192	48
80	194	45
81	201	44
82	203	41
83	205	39
84	207	36
85	209	34
86	211	31
87	213	29
88	215	26
89	217	24
90	219	21
91	221	19
92	222	16
93	228	14
94	230	12
95	233	9
96	235	7
97	237	4
98	239	2
99	240	0
